Epoch,g_loss,d_loss
1,11.325873386859893,1.452400553226471
2,10.172548863887787,1.3861804294586182
3,9.302805006504059,1.3526931750774382
4,6.809312152862549,1.330381326675415
5,5.822158200740814,1.2990252447128297
6,4.878016283512116,1.265185796022415
7,4.279833437204361,1.2154743111133575
8,3.8159416055679323,1.1727616834640502
9,3.4975982773303986,1.1566532254219055
10,3.2437064838409424,1.1492333698272705
11,3.1061081898212435,1.2191253972053528
12,2.9465258729457857,1.215886515378952
13,3.1101781809329987,1.1213423788547516
14,2.8294237339496613,1.1168467223644256
15,2.655617825984955,1.115209949016571
16,2.5419956809282303,1.1143646454811096
17,2.4107391619682312,1.1121221387386322
18,2.3220936387777327,1.1112628412246703
19,2.4059689354896547,1.110694705247879
20,2.547332301735878,1.164042179584503
21,2.208184042572975,1.3863371515274048
22,2.0098265635967256,1.387885044813156
23,2.019178067445755,1.3862168765068055
24,1.9930884677171707,1.3861925411224365
25,1.885494097471237,1.3859708547592162
26,2.028647560477257,1.3507377099990845
27,1.8955909049510955,1.2783397030830383
28,1.819228001832962,1.2306090426445007
29,1.808329934477806,1.1325656807422637
30,1.726992774605751,1.1247042667865754
31,1.6959042739868164,1.1153744912147523
32,1.5883393377065658,1.1167236936092377
33,1.560234272480011,1.1115938174724578
34,1.5531608277559281,1.11170392036438
35,1.5555625367164612,1.1106089067459106
36,1.5376647973060609,1.1108401882648469
37,1.4709728056192397,1.1105534744262695
38,1.44074187874794,1.109142314195633
39,1.4360849767923356,1.1087729001045228
40,1.3931320470571518,1.108591400384903
41,1.4002556639909745,1.1085129153728486
42,1.5698477113246918,1.1369538378715516
43,1.6035619640350343,1.1230388140678407
44,1.4145804476737975,1.1091681730747223
45,1.44982293009758,1.1245251762866975
46,1.4106236457824708,1.1090019512176514
47,1.3690406334400178,1.1079197144508361
48,1.3461131703853608,1.107698037624359
49,1.3179866117238999,1.1078234660625457
50,1.3113496416807175,1.1075112223625183
51,1.3284122627973556,1.1076280570030212
52,1.2924744200706482,1.1104278874397278
53,1.2497801437973977,1.1210948300361634
54,1.2474030098319053,1.1078141748905181
55,1.202312514781952,1.1072589731216431
56,1.1444130891561508,1.1073670995235443
57,1.1987203928828238,1.107190304994583
58,1.162041034400463,1.1073410606384277
59,1.0573379236459732,1.1077803874015808
60,1.09747163772583,1.1074801886081695
61,1.093859826028347,1.107092832326889
62,1.0792424809932708,1.1070063149929046
63,1.15922496676445,1.1069718539714812
64,1.19714101344347,1.1071058976650239
65,1.1192635607719421,1.1241148233413696
66,1.2153015872836113,1.1596788799762725
67,1.1742581349611283,1.2005064797401428
68,1.2163366904854775,1.1377136051654815
69,1.1417582780122757,1.1089690482616426
70,1.0692107686400414,1.1176010572910309
71,1.0060175561904907,1.1084258139133454
72,0.9849396893382072,1.1075242209434508
73,0.9905317538976669,1.107388392686844
74,0.9865140458941459,1.1076985442638396
75,0.9707564562559128,1.1075295996665955
76,1.0046023520827294,1.1070930314064027
77,1.012342711687088,1.1069316840171814
78,1.0406061238050461,1.1071033227443694
79,0.978332100212574,1.1068741440773011
80,0.939717133641243,1.1069537603855133
81,0.9568068596720696,1.1068723154067994
82,0.9938399186730384,1.1069468367099762
83,1.026155458688736,1.1068378233909606
84,1.0515512809157372,1.1067369163036347
85,0.9813199198246002,1.1067461633682252
86,0.9874855041503906,1.1068753707408905
87,0.9931894940137863,1.106683897972107
88,0.936801061630249,1.1067619359493255
89,0.8665406572818756,1.106686645746231
90,0.8703472623229027,1.1066850733757019
91,0.8863228732347488,1.1066788041591644
92,0.9053200137615204,1.1066694486141204
93,0.875870176255703,1.1066239428520204
94,0.8447934648394585,1.1066470861434936
95,1.0932216811180115,1.1227162170410157
96,0.9464907521009445,1.1191519963741303
97,0.9240301460027694,1.1631607258319854
98,0.8474417287111282,1.107824137210846
99,0.8053670981526375,1.1070471251010894
100,0.8086973631381988,1.106846569776535
101,0.805305201113224,1.1068342232704163
102,0.8148606508970261,1.1067217111587524
103,0.7834983652830124,1.1067502081394196
104,0.7988941380381585,1.1066373097896576
105,0.7984981977939606,1.10661700963974
106,0.770478248000145,1.1067071080207824
107,0.794398390352726,1.1066166543960572
108,0.8142862290143966,1.1066140460968017
109,0.8077604413032532,1.1066569471359253
110,0.7725586062669754,1.1065611147880554
111,0.7693512004613876,1.1066046392917632
112,0.7442171555757523,1.1065551400184632
113,0.7256330305337906,1.10657412648201
114,0.7058011919260025,1.106558744907379
115,0.7142790675163269,1.1065549409389497
116,0.7163216897845268,1.1065205574035644
117,0.7411274352669716,1.1065337312221528
118,0.7685752022266388,1.1065424525737761
119,0.7577357083559036,1.1065186202526092
120,0.7519664588570595,1.1065275239944459
121,0.7408240455389022,1.1065047228336333
122,0.7048723420500755,1.1065027487277985
123,0.7031621697545052,1.106500860452652
124,0.7082157155871391,1.1065010261535644
125,0.7188230577111244,1.10648859500885
126,0.717985381782055,1.106539546251297
127,0.703028352856636,1.1065145254135131
128,0.6926405450701714,1.106484044790268
129,0.7603154146671295,1.1064873719215393
130,0.7500822657346725,1.1064740431308746
131,0.7473651304841041,1.106495542526245
132,0.7212652173638344,1.1064875328540802
133,0.6811027765274048,1.1064734494686126
134,0.6387506091594696,1.1064641427993775
135,0.6584711644053459,1.1064718198776244
136,0.6705563259124756,1.1064721298217775
137,0.6641578245162963,1.1064923930168151
138,0.6720766732096672,1.1064854538440705
139,0.6804828760027886,1.106459528207779
140,0.6643152403831482,1.1064547848701478
141,0.6630318555235862,1.1064537811279296
142,0.6551383540034295,1.106448599100113
143,0.6421603298187256,1.106450273990631
144,0.6687847977876663,1.1064517033100127
145,0.716641640663147,1.1064499080181123
146,0.713118103146553,1.1064552319049836
147,0.6590783613920211,1.106442345380783
148,0.6428371101617814,1.1064418685436248
149,0.6615398514270783,1.106444627046585
150,0.649469912648201,1.1064411616325378
151,0.6065735149383545,1.1064390623569489
152,0.6209443014860153,1.1064408314228058
153,0.6077391062676907,1.1064337372779847
154,0.5931636041402817,1.1064344477653503
155,0.628297401368618,1.1064356243610383
156,0.6218543326854706,1.1064338040351869
157,0.5732485477626323,1.106432865858078
158,0.565231594145298,1.106429922580719
159,0.5921852558851242,1.1064318752288818
160,0.5752839708328247,1.1064276576042176
161,0.5499524430930615,1.106431177854538
